Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 1.5223 Precision: 0.8223, Recall: 0.4708, F1: 0.5143
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 2, Testing - Loss: 0.9642 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 3, Testing - Loss: 1.1834 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:128, lstm_num_layers: 1, Testing - Loss: 1.4497 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:128, lstm_num_layers: 2, Testing - Loss: 0.9571 Precision: 0.9935, Recall: 0.3939, F1: 0.5515
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:128, lstm_num_layers: 3, Testing - Loss: 1.1858 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:256, lstm_num_layers: 1, Testing - Loss: 0.8894 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:256, lstm_num_layers: 2, Testing - Loss: 1.0085 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 6, lstm_hidden_size:256, lstm_num_layers: 3, Testing - Loss: 1.0456 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 0.9965 Precision: 0.7657, Recall: 0.6288, F1: 0.5326
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 2, Testing - Loss: 1.1455 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:64, lstm_num_layers: 3, Testing - Loss: 1.0263 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 1, Testing - Loss: 2.0779 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 2, Testing - Loss: 1.1237 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:128, lstm_num_layers: 3, Testing - Loss: 1.0587 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:256, lstm_num_layers: 1, Testing - Loss: 0.9642 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:256, lstm_num_layers: 2, Testing - Loss: 0.9636 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 12, lstm_hidden_size:256, lstm_num_layers: 3, Testing - Loss: 1.4741 Precision: 0.9351, Recall: 0.7035, F1: 0.7853
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 0.7751 Precision: 0.8528, Recall: 0.5736, F1: 0.5751
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:64, lstm_num_layers: 2, Testing - Loss: 1.2135 Precision: 0.6756, Recall: 0.7652, F1: 0.5813
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:64, lstm_num_layers: 3, Testing - Loss: 1.9800 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:128, lstm_num_layers: 1, Testing - Loss: 1.9107 Precision: 0.9769, Recall: 0.4600, F1: 0.5940
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:128, lstm_num_layers: 2, Testing - Loss: 2.0010 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:128, lstm_num_layers: 3, Testing - Loss: 1.2664 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:256, lstm_num_layers: 1, Testing - Loss: 2.2796 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:256, lstm_num_layers: 2, Testing - Loss: 1.9496 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:256, lstm_num_layers: 3, Testing - Loss: 1.1672 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 1.0349 Precision: 0.7282, Recall: 0.7078, F1: 0.5745
